event eta phi energy
0 -1.6 -1.2 116.485
0 -1.8 -1.4 98.5059
0 -1.8 -1.3 127.824
0 -2 -1.2 11.1333
0 -2 -1.5 55.3479
0 -1.9 -1.1 32.3573
0 -1.4 -1.4 63.3067
0 -1.4 -1.2 30.0072
0 -1.8 -0.8 40.0961
0 -1.9 -0.9 41.8949
0 -1.5 -1 37.2738
0 -1.8 -1.2 37.6328
0 -1.8 -0.9 13.5676
0 -2 -1.6 66.7675
0 1.6 -0.8 88.0181
0 1.5 -1.1 75.6705
0 1.5 -0.6 136.008
0 1.6 -1 34.028
0 2.1 -0.8 45.1281
0 1.6 -0.7 32.2636
0 1.6 -0.6 57.0624
0 1.8 -0.6 63.981
0 1.8 -0.7 58.6491
0 2 -0.4 22.1071
0 1.8 -0.4 27.6637
0 1.8 -0.9 66.8835
0 -1.3 0.7 1e-08
0 -1.6 -0.6 1e-08
0 1.1 2.2 1e-08
0 0.9 -2.6 1e-08
0 -2.3 -0.1 1e-08
0 1.7 -0.2 1e-08
0 2.7 3 1e-08
0 -1 -1.9 1e-08
0 -1 1 1e-08
0 1.1 0.7 1e-08
0 -2.4 1.7 1e-08
0 1.4 -1.6 1e-08
0 -1.4 2.9 1e-08
0 -0.5 -1 1e-08
0 -3 2.3 1e-08
0 -3 -2.1 1e-08
0 -3 0.7 1e-08
0 1.4 0.7 1e-08
0 2.8 0 1e-08
0 0.2 -0.2 1e-08
0 1.3 0.5 1e-08
0 1.1 2.9 1e-08
0 -2.9 -1.4 1e-08
0 2.3 -1.3 1e-08
0 -1.1 -1.3 1e-08
0 2.7 2.2 1e-08
0 1.5 0.2 1e-08
0 -0.6 -1.8 1e-08
0 -2.6 -1.3 1e-08
0 -2.9 -1.6 1e-08
0 -0.7 -0.3 1e-08
0 -0.8 -0.4 1e-08
0 -2.3 1.9 1e-08
0 -2 -1.4 1e-08
0 -2 2.7 1e-08
0 1.1 -2.3 1e-08
0 -1.5 -0.6 1e-08
0 -0.8 1.4 1e-08
0 -1.4 1.2 1e-08
0 0 -2.4 1e-08
0 -2.1 1.1 1e-08
0 1.3 3 1e-08
0 1.2 0.4 1e-08
0 1.1 2.9 1e-08
0 0.6 1.7 1e-08
0 2.5 1 1e-08
0 1 0.5 1e-08
0 2.8 -2.1 1e-08
0 -1 2.8 1e-08
0 -2.4 0.8 1e-08
0 2.8 3.1 1e-08
