event eta phi energy
0 -1.7 -1.2 116.485
0 -1.8 -1.3 98.5059
0 -1.8 -1.5 67.8239
0 -1.4 -1.3 51.5944
0 -1.9 -1.1 30.916
0 -1.8 -1.4 36.3513
0 -1.8 -1 64.3351
0 -1.8 -0.7 34.1247
0 -1.8 -0.9 74.8865
0 -1.9 -1.4 66.7675
0 -2 -1.2 44.8783
0 -1.9 -1.3 35.2424
0 -1.6 -1.2 4.73152
0 -1.9 -1 22.2799
0 -1.8 -1.1 33.9794
0 -1.9 -0.9 58.6491
0 -2.1 -1.2 33.3616
0 -2.1 -1.4 27.7594
0 -2.2 -1.2 28.0808
0 -2.1 -1.3 33.7822
0 -1.6 -1 62.3555
0 -1.8 -1.7 58.7803
0 -1.4 -1 77.0298
0 -1.6 -1.5 26.8617
0 -2 -1.5 57.3972
0 -1.6 -1.1 23.1393
0 -1.5 -1.2 39.3059
0 -2.1 -1 40.0014
0 -2.2 -1.4 45.7504
0 -1.3 -1.1 45.5857
0 -1.4 -1.1 57.2045
0 -1.5 -0.8 80.0621
0 -1.6 -0.8 108.493
0 -1.5 -0.7 11.3058
0 -1.4 -0.6 94.1533
0 -1.2 -0.7 50.318
0 -1.4 -0.9 34.4348
0 -1.3 -0.9 48.6789
0 -1.3 -0.8 10.6866
0 -1.2 -0.9 82.0434
0 -1.7 -0.8 19.723
0 -1.3 -0.7 27.604
0 -1.2 -1 58.5823
0 -1.5 -0.4 42.0328
0 -1.3 -1 22.2253
0 -1.2 -0.8 38.385
0 -1.6 -0.6 24.5878
0 -1.3 -0.4 47.1446
0 -1.1 -0.9 46.6262
0 -1.3 -0.5 41.1523
0 -1.1 -0.7 64.8289
0 -1.4 -1.6 61.2448
0 -1 -0.9 42.1599
0 -1 -0.6 31.7029
0 -1 -0.8 39.219
0 -0.9 -0.7 40.9484
0 -1 -1 52.4001
0 -1.1 -0.8 11.1435
0 -1.6 -0.7 50.084
0 -1.3 -0.6 6.07048
0 -1.2 -0.6 33.3473
0 -1 -1.1 28.2193
0 1 1.4 1e-08
0 0.5 0.2 1e-08
0 1.9 3.1 1e-08
0 -1.1 0.7 1e-08
0 1.6 1.8 1e-08
0 -2.6 0.3 1e-08
0 -3 1.8 1e-08
0 1.2 2.9 1e-08
0 0.1 -0.9 1e-08
0 -0.1 -0.4 1e-08
0 3 0.6 1e-08
0 1.7 3 1e-08
0 -0.1 -2.6 1e-08
0 2.9 -2.4 1e-08
0 -1.8 -3.1 1e-08
0 -0.8 -1 1e-08
0 1.4 -0.8 1e-08
0 -2.9 -2.3 1e-08
0 0.5 1.5 1e-08
0 2.2 -2.3 1e-08
0 -2.7 -0.6 1e-08
0 -1.6 -0.2 1e-08
0 2.3 -0.3 1e-08
0 -2.6 -1.2 1e-08
0 0 1.5 1e-08
0 1.2 3 1e-08
0 -1.1 1.9 1e-08
0 -2.7 1.6 1e-08
0 -1.2 -2.6 1e-08
0 2.7 1.6 1e-08
0 -1.8 2.9 1e-08
0 1.5 1.5 1e-08
0 0.1 -2.6 1e-08
0 0.9 -2.6 1e-08
0 1.4 0.2 1e-08
0 1.5 2.3 1e-08
0 -2.8 -2.6 1e-08
0 0.9 2.9 1e-08
0 -0.1 2.3 1e-08
0 2.1 2 1e-08
0 1.3 -0.6 1e-08
0 0.8 0.2 1e-08
0 -0.8 -0.9 1e-08
0 -1.4 -0.2 1e-08
0 0.8 -2.1 1e-08
0 2.4 2.6 1e-08
0 2.4 -0.3 1e-08
0 -0.3 0.1 1e-08
0 -0.8 -0.6 1e-08
0 2.9 -0.8 1e-08
0 -2.4 -1.6 1e-08
0 1.2 2.9 1e-08
0 2.5 -2.8 1e-08
0 0.9 2.6 1e-08
0 -2.7 2.9 1e-08
0 -0.2 -0.3 1e-08
0 -1.3 1.5 1e-08
0 -2.6 -2 1e-08
0 -0.4 -1.3 1e-08
0 0.3 1 1e-08
0 2.9 -2 1e-08
0 -0.5 2.8 1e-08
0 1.3 -1.1 1e-08
0 1.4 3 1e-08
0 -2.9 -1.5 1e-08
0 1.6 -0.3 1e-08
0 1.8 -1.7 1e-08
0 -1 -0.7 1e-08
0 1.2 -2.9 1e-08
0 -0.5 2.7 1e-08
0 -0.4 0.1 1e-08
0 -2.4 -2 1e-08
0 -0.1 -1.3 1e-08
0 0.7 2.8 1e-08
0 -1.4 3.1 1e-08
0 -1.8 2.5 1e-08
0 -1.7 -1.5 1e-08
0 -0.2 2 1e-08
0 -2.5 2.2 1e-08
0 1.8 2.1 1e-08
0 -1.8 -2.5 1e-08
0 1.1 0.9 1e-08
0 0 -0.8 1e-08
0 2.6 -1.8 1e-08
0 0.8 -0.9 1e-08
0 1.9 0.2 1e-08
0 2.9 1.1 1e-08
0 2.9 -2.4 1e-08
0 -0.4 -3 1e-08
0 1.1 -0.2 1e-08
0 3 -0.1 1e-08
0 -2.4 -3 1e-08
0 1.1 -0.8 1e-08
0 -0.1 1.5 1e-08
0 -2.6 1.9 1e-08
0 -1.2 -3.1 1e-08
0 -2.3 1.2 1e-08
0 -2 -2.6 1e-08
0 -0.9 1.5 1e-08
0 0.1 1.4 1e-08
0 2 -3.1 1e-08
0 1.9 -1 1e-08
0 0.6 -0.4 1e-08
0 -0.5 2.5 1e-08
0 0.8 0.4 1e-08
0 2.5 1.7 1e-08
0 1.1 -3.1 1e-08
0 -1.9 1 1e-08
0 1.5 0.2 1e-08
0 1.4 0.6 1e-08
0 -0.2 2.2 1e-08
0 -2.7 1.5 1e-08
0 0.3 -2.5 1e-08
0 -0.3 1.8 1e-08
0 3 -1.5 1e-08
0 1.5 2.8 1e-08
0 2.6 -0.9 1e-08
0 -0.3 -0.1 1e-08
0 0.6 -0.9 1e-08
0 -1.7 2.5 1e-08
0 2.1 -3 1e-08
0 -2 1.7 1e-08
0 1.7 -0.1 1e-08
0 -1 0.1 1e-08
0 -2.7 -1.9 1e-08
0 -1.9 -0.9 1e-08
0 -1.8 -2.4 1e-08
0 -2.2 0.2 1e-08
0 0.4 -0.3 1e-08
